Name,PDGA
AJ Carey,61770
Aapo Karhi,82562
Aaron Gossage,35449
Adam Hammes,57365
Adrian Chevalier,104894
Alan Vazquez,198236
Albert Tamm,76669
Alden Harris,98091
Alex Berg,65488
Alex Meulenbeld,123851
Andrew Marwede,75590
Andrew Miranda,118426
Andrew Presnell,63765
Anthony Anselmo,56579
Anthony Barela,44382
Arttu Aaltonen,216551
Arvid Håkansson,119628
Austen Bates,130724
Austin Turner,54049
Aviel Gomez,127492
Barry Schultz,6840
Ben Matthews,146880
Benjamin Callaway,39015
Blaz Petrovic,163272
Bo McLaughlin,87143
Bradley Williams,31644
Braeden Sides,129963
Cale Leiviska,24341
Calvin Heimburg,45971
Calvin Lonnquist,145206
Cam Rico,28560
Carl Rose,57352
Carter Ahrens,88279
Casey White,81739
Chandler Kramer,139228
Chris Clemons,50401
Chris Dickerson,62467
Chris Shotwell,41918
Christoph Weiß,114954
Clay Edwards,91397
Cole Hauser,119854
Cole Redalen,79748
Colin Bryant,130709
Colten Montgomery,35876
Connor O'Reilly,99648
Connor Rock,73695
Corbin Milchesky,153445
Corey Ellis,44512
Dallas Garber,138089
Damien Trunkey,28623
Daniel Davidsson,76456
Daniel Kokunja,238482
David Feldberg,12626
Dennis Augustsson,98130
Derek Sahr,39552
Diego Perez,141079
Dima Gerashchenko,109329
Domas Šimkūnas,198786
Dorian Legendre,63655
Drew Gibson,48346
Eagle McMahon,37817
Edoardo Turri,206160
Edward Ward,62387
Eemi Pantsari,133345
Eetu Salomäki,117593
Eetu Tuominen,131056
Eli Swansen,128050
Elias Luukkonen,106059
Elijah Bickel,94844
Elijah Rider Brandt,143853
Ellert Georgsson,152023
Emmanuel Torres,68986
Eric Oakley,53565
Evan Scott,89394
Evan Smith,101574
Evan Walker,190731
Ezra Aderhold,121715
Ezra Robinson,50671
Federico José Sörenson Sánchez,109371
Francis Orange,146432
Fritiof Fagergren,135125
G.T. Hancock,49885
Gannon Buhr,75412
Garett Everson,98164
Garrett Gurthie,13864
Gavin Babcock,80331
Gavin Phillips,119504
Gavin Rathbun,60436
George Maltsiniotis,44146
Gregg Barsby,15857
Gustav Dahlén,102051
Hannes Kurn,130745
Harper Thompson,60259
Harry Chace,131546
Hayden Carroll,124016
Henrik Haaland,174255
Hjalte Jensen,129061
Håkon Kveseth,74569
Ian Burchett,60435
Isaac Robinson,50670
JJ Campbell,170839
Jacky Chen,128836
Jacob Blair,52785
Jacob Courtis,56511
Jaden Rye,153363
Jaime Velasquez,251455
Jake Brown,140954
Jake Hebenheimer,43762
Jake Monn,98722
Jakub Semerád,91925
James Collier,132972
James Conrad,17295
James Proctor,34250
Jamie Kiep,68815
Jared Stoll,68103
Jasper Heino,57280
Jayden Torres,108560
Jean Poignee,117011
Jeremy Koling,33705
Jesse Longenecker,149546
Jesse Nieminen,58923
Joe O'Brien,64002
Joel Freeman,69509
Joey Temali,100818
John Willis II,23844
Jonathan Borzick,119794
Joni Peltonen,94872
Joona Heinänen,58926
Joonas Aalto,71551
Joseph Anderson,122356
Joshua Anthon,17946
Justin Rosak,98161
Justus Sarvi,165010
Juuso Timonen,109506
Karl Johan Nybo,28903
Kasperi Kivimäki,134628
Kasperi Pakarinen,117337
Kevin Jones,41760
Kieran Hampson,171703
Knut Valen Håland,35070
Konstantin Basos,128056
Kristian Kuoksa,107078
Kristo Raik,85483
Kyle Klein,85132
Kyle Krieckhaus,154511
Lauri Hämäläinen,72939
Lauri Lehtinen,82297
Leevi Isotalo,116000
Lenni Kemppainen,96736
León Blanco,74135
Linus Carlsson,82098
Logan Plake,76846
Lucas Carmichael,151146
Lucas Oberholtzer Hess,90439
Luke Humphries,69424
Luke Samson,59419
Luke Taylor,102119
Luukas Rokkanen,64917
Mason Ford,72844
Mathias Villota,103114
Matias Kalaoja,80858
Matt Bell,48950
Matthew Alexander,138103
Matthew Orum,18330
Mauri Villmann,107197
Max Schulze,263305
Micah Groth,113179
Miio Hämäläinen,201845
Mika Laikko,116266
Miles Sayer,91543
Morten Brenna,79859
Nate Doss,11794
Nate Metzler,41220
Nathan Queen,68286
Nathan Sexton,18824
Nestori Tuhkanen,110462
Niilo Hongisto,214251
Nikko Locastro,11534
Niklas Anttila,91249
Nikola Arkko,199203
Noah Feil,242013
Noah Higgins,84157
Noah Meintsma,56555
Noah Smithson,111132
Onni Arminen,130692
Onni Ruusunen,131002
Oskari Vikström,74130
Otto Mäkinen,159317
Parker Austin,165881
Parker Welck,39491
Patryk Kies,126233
Paul Krans,132521
Paul McBeth,27523
Paul Oman,34344
Paul Ulibarri,27171
Pekka Hyvönen,107079
Peter Lunde,72576
Petr Striegler,89634
Philo Brathwaite,26416
Pyry Joutsen,72905
Rainers Balodis,158640
Randon Latta,51685
Randy Dueck,139619
Rasmus Metsamaa,92779
Rasmus Saukkoriipi,136325
Rasmus Tuominen,104299
Raven Newsom,88212
Richard Wysocki,38008
Rienk Kan,89184
Robert Abel,28544
Robert Burridge,96512
Roland Kõur,108695
Ryan Jewell,180216
Ryan Monn,144929
Samuel Hänninen,87964
Sawyer Barlow,165190
Scott Stokely,3140
Severi Saviniemi,80974
Shane McCullen,102040
Silas Schultz,79047
Silver Lätt,61186
Simon Lizotte,8332
Songqing Guo,113958
Stanislaus Amann,87790
Steve Brinster,10628
Sullivan Tipton,78817
Tamás Kovács,71780
Tee Vetne,62088
Teemu Lampainen,107567
Teemu Talikainen,155087
Thomas Gilbert,85850
Timo Hartmann,84690
Tomislav Goricki,69640
Tomáš Mozola,103693
Tony Ferro,33551
Trent Somerville,92729
Trevon Crowe,67172
Tsz Ho Ming,84274
Tuomas Hyytiäinen,65715
Ty Love,89959
Ville Ahokas,53538
Ville Parpala,110596
Väinö Mäkelä,59635
Whit Stephenson,241573
Will Schusterick,29064
Wyatt Mahoney,89460
Wynn Coggin,155128
Yehuda Shenvald,203055
Yutaro Sakai,80387
Zach Arlinghaus,65266
Zach Melton,38631
Zachary Nash,101197
Øyvind Jarnes,41884
